EmployeeID,Gender,Age,AgeBand,MaritalStatus,Education,Department,JobRole,JobLevel,OfficeLocation,EmploymentType,HireDate,IsActive
E00031,Male,26,Under 30,Married,Master,Human Resources,HR Analyst,2,Delhi,Full-Time,2025-12-19,True
E00032,Female,36,30-39,Married,Diploma,IT,DevOps Engineer,4,Mumbai,Full-Time,2025-10-26,True
E00033,Female,36,30-39,Married,Bachelor,Operations,Quality Analyst,2,Hyderabad,Full-Time,2023-08-24,False
E00034,Female,39,30-39,Single,Bachelor,IT,IT Support,4,Mumbai,Full-Time,2024-04-12,True
E00035,Female,33,30-39,Single,Master,Research & Development,Product Engineer,4,Remote,Full-Time,2023-09-20,False
E00036,Female,27,Under 30,Married,Master,IT,DevOps Engineer,3,Hyderabad,Full-Time,2025-10-17,True
E00037,Female,37,30-39,Single,Diploma,Executive,CEO,3,Chennai,Full-Time,2023-10-19,True
E00038,Male,28,Under 30,Single,Bachelor,Research & Development,Research Scientist,2,Hyderabad,Full-Time,2020-02-16,True
E00039,Female,30,30-39,Married,Bachelor,Human Resources,HR Analyst,3,Bengaluru,Part-Time,2020-07-01,True
E00040,Male,28,Under 30,Married,Master,Sales,Sales Executive,1,Delhi,Full-Time,2020-05-30,False
E00041,Male,44,40-49,Single,PhD,Sales,Account Executive,7,Mumbai,Full-Time,2025-09-15,True
E00042,Male,33,30-39,Married,Bachelor,Research & Development,Product Engineer,3,Remote,Full-Time,2022-11-20,False
E00043,Male,36,30-39,Married,Diploma,Human Resources,HR Analyst,5,Remote,Full-Time,2025-06-24,True
E00044,Male,29,Under 30,Married,Diploma,Customer Support,Support Agent,2,Remote,Contract,2020-09-07,True
E00045,Female,35,30-39,Single,Bachelor,Operations,Quality Analyst,3,Mumbai,Full-Time,2021-09-22,True
E00046,Male,28,Under 30,Married,High School,Finance,Financial Analyst,1,Hyderabad,Full-Time,2025-09-12,False
E00047,Female,35,30-39,Married,Bachelor,IT,Data Analyst,2,Remote,Full-Time,2024-11-09,True
E00048,Male,28,Under 30,Single,Diploma,Research & Development,Product Engineer,3,Remote,Part-Time,2024-12-09,True
E00049,Female,25,Under 30,Married,Bachelor,Human Resources,Recruiter,1,Hyderabad,Full-Time,2024-11-10,True
E00050,Female,32,30-39,Divorced,High School,Finance,Financial Analyst,3,Hyderabad,Contract,2021-07-19,True
E00051,Male,32,30-39,Married,PhD,Operations,Quality Analyst,5,Hyderabad,Contract,2025-04-03,False
E00052,Male,35,30-39,Married,PhD,Marketing,Marketing Analyst,6,Delhi,Full-Time,2025-05-14,True
E00053,Female,38,30-39,Single,Diploma,Sales,Account Executive,7,Chennai,Full-Time,2023-10-03,True
E00054,Male,36,30-39,Married,PhD,Operations,Operations Analyst,3,Bengaluru,Part-Time,2022-01-24,True
E00055,Male,32,30-39,Married,Master,Customer Support,Escalation Specialist,3,Hyderabad,Full-Time,2022-12-30,False
E00056,Female,25,Under 30,Single,High School,Customer Support,Support Lead,2,Mumbai,Full-Time,2021-03-30,False
E00057,Male,34,30-39,Married,Master,Customer Support,Escalation Specialist,4,Delhi,Full-Time,2021-04-18,True
E00058,Male,26,Under 30,Married,PhD,Finance,Credit Analyst,1,Chennai,Full-Time,2023-04-08,True
E00059,Male,30,30-39,Single,Diploma,Operations,Operations Analyst,3,Chennai,Full-Time,2022-09-01,False
E00060,Male,35,30-39,Married,Master,Operations,Logistics Coordinator,2,Remote,Full-Time,2022-03-27,False
E00061,Female,31,30-39,Married,Bachelor,Sales,Account Executive,1,Delhi,Full-Time,2021-09-02,True
E00062,Male,26,Under 30,Divorced,Bachelor,Sales,Sales Executive,1,Remote,Full-Time,2020-03-27,True
E00063,Male,33,30-39,Single,PhD,Sales,Business Development,1,Bengaluru,Full-Time,2021-12-19,True
E00064,Female,32,30-39,Married,High School,Operations,Logistics Coordinator,1,Hyderabad,Full-Time,2021-08-27,False
E00065,Male,33,30-39,Single,Bachelor,Operations,Logistics Coordinator,4,Remote,Full-Time,2023-01-26,True
E00066,Female,24,Under 30,Married,Bachelor,IT,DevOps Engineer,1,Hyderabad,Full-Time,2024-07-10,True
E00067,Female,32,30-39,Married,PhD,Human Resources,Recruiter,1,Bengaluru,Full-Time,2022-09-20,True
E00068,Female,29,Under 30,Married,PhD,Customer Support,Escalation Specialist,2,Chennai,Full-Time,2020-05-28,True
E00069,Male,37,30-39,Married,Master,Customer Support,Support Lead,4,Bengaluru,Full-Time,2023-12-05,True
E00070,Male,32,30-39,Single,Master,Finance,Financial Analyst,1,Delhi,Full-Time,2020-04-29,True
E00071,Male,37,30-39,Married,Master,Marketing,SEO Specialist,3,Delhi,Full-Time,2025-02-16,False
E00072,Male,39,30-39,Married,PhD,Customer Support,Support Agent,5,Hyderabad,Full-Time,2021-03-08,False
E00073,Female,28,Under 30,Married,Bachelor,Finance,Credit Analyst,3,Remote,Full-Time,2021-06-20,True
E00074,Male,27,Under 30,Married,Bachelor,IT,Software Engineer,2,Delhi,Full-Time,2025-11-16,False
E00075,Male,36,30-39,Married,Bachelor,Customer Support,Support Agent,3,Delhi,Full-Time,2024-08-08,True
E00076,Female,29,Under 30,Married,PhD,Marketing,Content Writer,2,Mumbai,Full-Time,2022-10-28,True
E00077,Female,38,30-39,Married,High School,Research & Development,Product Engineer,3,Bengaluru,Part-Time,2020-01-08,True
E00078,Male,36,30-39,Married,Master,Sales,Account Executive,3,Delhi,Full-Time,2024-10-29,True
E00079,Female,35,30-39,Single,Diploma,Customer Support,Support Lead,3,Delhi,Full-Time,2020-04-04,True
E00080,Male,38,30-39,Married,Diploma,IT,Software Engineer,4,Delhi,Contract,2020-11-15,True
E00081,Female,46,40-49,Married,Bachelor,Research & Development,Research Scientist,7,Chennai,Full-Time,2020-09-30,True
E00082,Female,27,Under 30,Married,Master,Human Resources,HR Generalist,2,Remote,Full-Time,2024-12-12,True
E00083,Female,30,30-39,Single,Bachelor,Customer Support,Support Lead,4,Delhi,Full-Time,2021-08-24,True
E00084,Male,29,Under 30,Married,High School,IT,IT Support,1,Bengaluru,Full-Time,2021-02-26,True
E00085,Male,36,30-39,Married,PhD,Customer Support,Support Agent,4,Remote,Full-Time,2021-03-31,True
E00086,Male,34,30-39,Divorced,Bachelor,Operations,Operations Analyst,4,Mumbai,Full-Time,2025-04-12,True
E00087,Female,35,30-39,Divorced,Master,Operations,Operations Analyst,6,Delhi,Full-Time,2023-02-04,True
E00088,Male,34,30-39,Divorced,High School,IT,DevOps Engineer,1,Delhi,Full-Time,2025-05-15,True
E00089,Female,30,30-39,Divorced,Master,IT,DevOps Engineer,1,Remote,Full-Time,2023-07-14,True
E00090,Male,30,30-39,Married,High School,Finance,Credit Analyst,2,Hyderabad,Full-Time,2024-10-22,True
E00091,Male,27,Under 30,Married,Diploma,Research & Development,Research Scientist,3,Hyderabad,Part-Time,2025-03-22,False
E00092,Male,42,40-49,Married,PhD,Sales,Account Executive,7,Bengaluru,Full-Time,2022-07-12,True
E00093,Female,31,30-39,Married,Bachelor,IT,IT Support,2,Remote,Full-Time,2022-01-04,True
E00094,Male,36,30-39,Divorced,PhD,Sales,Business Development,5,Hyderabad,Full-Time,2022-09-05,True
E00095,Female,44,40-49,Married,High School,Customer Support,Support Agent,6,Hyderabad,Part-Time,2025-03-25,False
E00096,Female,26,Under 30,Married,Bachelor,Marketing,SEO Specialist,2,Mumbai,Contract,2025-11-21,False
E00097,Male,27,Under 30,Married,Diploma,Sales,Account Executive,1,Bengaluru,Full-Time,2022-12-22,True
E00098,Male,26,Under 30,Divorced,High School,Operations,Operations Analyst,2,Remote,Full-Time,2022-12-27,False
E00099,Male,23,Under 30,Married,Diploma,Sales,Sales Executive,1,Delhi,Full-Time,2023-07-08,True
E00100,Female,31,30-39,Married,High School,Operations,Operations Analyst,1,Bengaluru,Contract,2024-03-09,True
E00101,Male,25,Under 30,Divorced,Bachelor,IT,Software Engineer,1,Mumbai,Full-Time,2024-06-29,False
E00102,Male,41,40-49,Married,High School,IT,IT Support,7,Chennai,Part-Time,2024-05-16,True
E00103,Male,38,30-39,Single,PhD,Customer Support,Escalation Specialist,5,Delhi,Full-Time,2021-01-18,True
E00104,Male,38,30-39,Married,Master,IT,Software Engineer,5,Delhi,Full-Time,2022-02-18,True
E00105,Female,33,30-39,Married,PhD,Operations,Logistics Coordinator,2,Mumbai,Full-Time,2024-07-07,True
E00106,Male,36,30-39,Married,Diploma,Marketing,Marketing Analyst,2,Remote,Full-Time,2023-07-20,True
E00107,Male,29,Under 30,Married,Bachelor,Operations,Operations Analyst,3,Mumbai,Part-Time,2024-07-23,True
E00108,Female,25,Under 30,Single,High School,Finance,Accountant,1,Remote,Full-Time,2021-09-25,False
E00109,Male,35,30-39,Single,Diploma,Marketing,SEO Specialist,3,Bengaluru,Full-Time,2021-05-06,True
E00110,Female,37,30-39,Married,High School,Operations,Logistics Coordinator,5,Remote,Full-Time,2021-12-30,True
E00111,Male,37,30-39,Single,Diploma,Human Resources,HR Analyst,5,Chennai,Part-Time,2025-09-25,True
E00112,Female,36,30-39,Single,Diploma,Research & Development,Product Engineer,3,Remote,Full-Time,2024-07-15,True
E00113,Female,29,Under 30,Single,High School,Finance,Credit Analyst,4,Mumbai,Full-Time,2024-01-22,True
E00114,Male,28,Under 30,Married,Diploma,IT,DevOps Engineer,1,Delhi,Full-Time,2023-01-11,True
E00115,Male,33,30-39,Single,PhD,Finance,Financial Analyst,6,Mumbai,Full-Time,2024-05-03,True
E00116,Male,39,30-39,Married,Bachelor,Customer Support,Escalation Specialist,7,Mumbai,Part-Time,2022-10-23,True
E00117,Female,26,Under 30,Married,High School,Research & Development,Research Scientist,1,Bengaluru,Full-Time,2021-04-11,True
E00118,Male,31,30-39,Married,Diploma,Operations,Operations Analyst,2,Chennai,Full-Time,2020-02-18,True
E00119,Male,25,Under 30,Married,Bachelor,IT,IT Support,2,Delhi,Full-Time,2025-06-30,False
E00120,Male,33,30-39,Married,Master,Marketing,Content Writer,6,Hyderabad,Full-Time,2023-03-11,True
E00121,Male,29,Under 30,Married,PhD,Executive,COO,2,Mumbai,Full-Time,2021-03-23,True
E00122,Male,35,30-39,Married,PhD,Customer Support,Support Lead,7,Mumbai,Full-Time,2021-06-06,True
E00123,Female,29,Under 30,Single,High School,Sales,Sales Executive,3,Delhi,Full-Time,2020-07-01,True
E00124,Male,25,Under 30,Married,Master,Marketing,Content Writer,2,Chennai,Full-Time,2025-10-21,False
E00125,Female,27,Under 30,Single,Master,Research & Development,Product Engineer,2,Hyderabad,Full-Time,2021-08-16,True
E00126,Female,27,Under 30,Single,Bachelor,Operations,Logistics Coordinator,2,Mumbai,Full-Time,2023-01-23,True
E00127,Male,35,30-39,Single,Master,IT,IT Support,2,Remote,Full-Time,2023-04-02,True
E00128,Female,25,Under 30,Married,Master,Marketing,SEO Specialist,1,Delhi,Part-Time,2024-06-10,True
E00129,Female,34,30-39,Married,PhD,Sales,Business Development,1,Mumbai,Full-Time,2024-03-01,False
E00130,Male,29,Under 30,Divorced,High School,Finance,Credit Analyst,2,Delhi,Full-Time,2025-04-07,True
E00131,Male,34,30-39,Married,Bachelor,Operations,Logistics Coordinator,2,Remote,Full-Time,2023-04-14,True
E00132,Male,27,Under 30,Married,Diploma,IT,DevOps Engineer,3,Hyderabad,Full-Time,2025-11-05,True
E00133,Female,37,30-39,Married,Bachelor,Sales,Sales Executive,3,Bengaluru,Full-Time,2025-09-26,True
E00134,Male,28,Under 30,Married,Bachelor,Operations,Logistics Coordinator,1,Bengaluru,Full-Time,2023-06-18,True
E00135,Female,33,30-39,Married,Bachelor,Customer Support,Escalation Specialist,5,Mumbai,Part-Time,2020-06-08,True
E00136,Male,35,30-39,Married,Bachelor,Customer Support,Support Agent,2,Bengaluru,Full-Time,2020-11-06,True
E00137,Female,36,30-39,Married,Bachelor,IT,DevOps Engineer,2,Hyderabad,Full-Time,2021-08-01,True
E00138,Male,32,30-39,Married,Master,Sales,Sales Executive,3,Delhi,Full-Time,2021-07-18,True
E00139,Female,32,30-39,Married,Diploma,Operations,Logistics Coordinator,1,Delhi,Full-Time,2022-06-05,True
E00140,Female,36,30-39,Married,High School,Sales,Sales Executive,6,Chennai,Full-Time,2025-03-24,True
E00141,Female,29,Under 30,Married,Bachelor,IT,DevOps Engineer,1,Hyderabad,Full-Time,2020-02-15,True
E00142,Male,32,30-39,Married,Bachelor,Finance,Accountant,1,Hyderabad,Full-Time,2022-07-21,True
E00143,Male,34,30-39,Single,Bachelor,Marketing,Content Writer,1,Chennai,Full-Time,2024-11-30,False
E00144,Male,31,30-39,Married,Master,Human Resources,Recruiter,5,Chennai,Contract,2023-10-12,True
E00145,Female,36,30-39,Married,Bachelor,Operations,Logistics Coordinator,3,Hyderabad,Full-Time,2025-10-02,True
E00146,Female,29,Under 30,Married,PhD,Executive,CFO,2,Chennai,Full-Time,2024-10-22,True
E00147,Male,25,Under 30,Married,Bachelor,Operations,Operations Analyst,1,Delhi,Full-Time,2025-07-16,False
E00148,Male,34,30-39,Married,Master,Human Resources,HR Generalist,3,Hyderabad,Full-Time,2022-03-29,True
E00149,Male,34,30-39,Married,Diploma,Research & Development,Data Scientist,4,Remote,Full-Time,2025-09-06,True
E00150,Male,30,30-39,Single,PhD,Human Resources,Recruiter,1,Mumbai,Full-Time,2025-12-14,True
E00151,Male,29,Under 30,Single,High School,Sales,Account Executive,1,Mumbai,Full-Time,2025-08-05,False
E00152,Female,38,30-39,Single,High School,Operations,Quality Analyst,5,Chennai,Full-Time,2023-01-12,True
E00153,Male,28,Under 30,Married,High School,IT,Data Analyst,2,Remote,Full-Time,2024-08-30,False
E00154,Male,33,30-39,Married,Master,Sales,Account Executive,4,Delhi,Full-Time,2023-04-02,True
E00155,Female,34,30-39,Single,PhD,Operations,Operations Analyst,1,Bengaluru,Full-Time,2021-07-12,True
E00156,Female,27,Under 30,Married,PhD,Operations,Quality Analyst,3,Bengaluru,Full-Time,2022-08-21,True
E00157,Female,33,30-39,Married,Bachelor,Finance,Accountant,1,Bengaluru,Full-Time,2024-10-25,True
E00158,Female,27,Under 30,Single,High School,Customer Support,Escalation Specialist,1,Chennai,Full-Time,2025-01-15,True
E00159,Female,31,30-39,Single,PhD,Human Resources,HR Generalist,3,Mumbai,Part-Time,2025-11-08,True
E00160,Male,30,30-39,Married,PhD,Customer Support,Support Lead,2,Bengaluru,Full-Time,2021-08-08,False
E00161,Female,31,30-39,Single,Diploma,Sales,Sales Executive,4,Remote,Full-Time,2024-01-17,True
E00162,Male,27,Under 30,Divorced,PhD,IT,Data Analyst,2,Mumbai,Part-Time,2024-12-20,True
E00163,Female,34,30-39,Single,Master,Operations,Operations Analyst,2,Mumbai,Full-Time,2025-04-22,True
E00164,Female,29,Under 30,Married,Diploma,Operations,Quality Analyst,1,Hyderabad,Full-Time,2020-04-18,True
E00165,Male,34,30-39,Divorced,Diploma,IT,Software Engineer,1,Delhi,Full-Time,2020-02-15,True
E00166,Male,34,30-39,Married,PhD,Research & Development,Data Scientist,3,Remote,Full-Time,2024-06-10,True
E00167,Male,37,30-39,Single,High School,Marketing,SEO Specialist,4,Hyderabad,Contract,2023-11-23,False
E00168,Female,29,Under 30,Divorced,Diploma,Operations,Logistics Coordinator,1,Hyderabad,Full-Time,2023-11-04,True
E00169,Male,30,30-39,Married,PhD,Operations,Quality Analyst,4,Hyderabad,Full-Time,2024-10-31,False
E00170,Female,32,30-39,Married,Diploma,Finance,Accountant,4,Remote,Full-Time,2024-03-31,True
E00171,Female,35,30-39,Single,High School,Operations,Quality Analyst,4,Delhi,Full-Time,2022-02-08,False
E00172,Male,30,30-39,Married,Diploma,Customer Support,Support Agent,1,Delhi,Part-Time,2025-09-04,False
E00173,Male,31,30-39,Married,Master,Sales,Account Executive,1,Hyderabad,Full-Time,2024-08-27,True
E00174,Female,38,30-39,Married,Master,Finance,Financial Analyst,5,Mumbai,Full-Time,2023-12-09,True
E00175,Female,35,30-39,Married,Master,Customer Support,Support Agent,6,Hyderabad,Full-Time,2024-08-28,True
E00176,Female,42,40-49,Divorced,High School,Sales,Sales Executive,6,Chennai,Full-Time,2024-10-14,True
E00177,Male,34,30-39,Single,High School,Customer Support,Support Lead,3,Chennai,Part-Time,2022-05-13,True
E00178,Male,33,30-39,Married,PhD,Sales,Business Development,6,Hyderabad,Part-Time,2023-06-26,True
E00179,Female,26,Under 30,Single,PhD,IT,Data Analyst,2,Delhi,Full-Time,2022-10-29,True
E00180,Female,36,30-39,Married,PhD,Operations,Quality Analyst,4,Delhi,Full-Time,2023-03-31,True
E00181,Female,29,Under 30,Married,Bachelor,Human Resources,HR Analyst,1,Chennai,Full-Time,2024-06-14,True
E00182,Male,31,30-39,Married,High School,Marketing,SEO Specialist,3,Chennai,Full-Time,2021-06-22,True
E00183,Female,29,Under 30,Married,High School,Operations,Operations Analyst,2,Remote,Full-Time,2024-11-30,True
E00184,Female,37,30-39,Single,High School,Research & Development,Research Scientist,6,Bengaluru,Full-Time,2024-11-18,True
E00185,Male,37,30-39,Single,High School,Human Resources,HR Analyst,3,Delhi,Full-Time,2020-06-28,True
E00186,Female,37,30-39,Married,Master,Finance,Financial Analyst,7,Delhi,Full-Time,2025-08-29,True
E00187,Female,31,30-39,Married,Diploma,Customer Support,Support Lead,4,Mumbai,Full-Time,2021-06-01,True
E00188,Male,31,30-39,Married,High School,Operations,Quality Analyst,3,Mumbai,Full-Time,2020-10-03,True
E00189,Male,34,30-39,Married,PhD,Sales,Account Executive,6,Mumbai,Full-Time,2020-07-23,True
E00190,Female,38,30-39,Married,Diploma,Research & Development,Research Scientist,3,Bengaluru,Full-Time,2023-09-16,True
E00191,Female,34,30-39,Married,PhD,IT,Software Engineer,1,Chennai,Full-Time,2021-01-01,True
E00192,Male,34,30-39,Married,PhD,Sales,Account Executive,1,Mumbai,Full-Time,2022-09-27,True
E00193,Male,34,30-39,Married,Bachelor,IT,Software Engineer,5,Hyderabad,Full-Time,2023-03-10,True
E00194,Male,36,30-39,Married,Master,Human Resources,HR Analyst,5,Chennai,Full-Time,2024-06-16,True
E00195,Male,31,30-39,Single,Diploma,Sales,Business Development,3,Remote,Part-Time,2025-06-15,True
E00196,Male,29,Under 30,Married,Master,Research & Development,Product Engineer,1,Delhi,Full-Time,2021-02-16,True
E00197,Female,40,40-49,Divorced,High School,Customer Support,Support Lead,5,Remote,Full-Time,2025-11-05,True
E00198,Male,27,Under 30,Married,Bachelor,Marketing,Content Writer,1,Remote,Full-Time,2021-02-22,True
E00199,Male,28,Under 30,Single,Diploma,Research & Development,Research Scientist,2,Remote,Full-Time,2020-09-13,False
E00200,Female,26,Under 30,Single,Diploma,Operations,Logistics Coordinator,1,Mumbai,Full-Time,2023-04-21,False
E00201,Male,46,40-49,Married,High School,IT,Data Analyst,7,Remote,Contract,2024-04-18,True
E00202,Female,34,30-39,Single,Master,Sales,Business Development,1,Mumbai,Full-Time,2020-02-19,False
E00203,Male,40,40-49,Married,High School,IT,DevOps Engineer,5,Mumbai,Full-Time,2021-06-23,True
E00204,Male,35,30-39,Married,Master,Executive,COO,4,Hyderabad,Full-Time,2020-05-04,True
E00205,Female,33,30-39,Married,Master,IT,DevOps Engineer,3,Chennai,Full-Time,2021-04-26,True
E00206,Female,34,30-39,Married,Bachelor,Operations,Operations Analyst,6,Remote,Full-Time,2023-01-29,True
E00207,Female,39,30-39,Divorced,High School,Marketing,Marketing Analyst,5,Hyderabad,Full-Time,2020-07-07,True
E00208,Male,25,Under 30,Single,Bachelor,Operations,Quality Analyst,2,Remote,Full-Time,2025-04-01,False
E00209,Male,31,30-39,Single,Master,Operations,Operations Analyst,1,Mumbai,Contract,2020-05-25,True
E00210,Male,27,Under 30,Single,Bachelor,Customer Support,Support Lead,2,Delhi,Contract,2023-03-22,True
E00211,Female,35,30-39,Single,Diploma,Customer Support,Escalation Specialist,4,Remote,Full-Time,2024-10-20,True
E00212,Male,32,30-39,Married,Diploma,Marketing,SEO Specialist,3,Hyderabad,Full-Time,2024-10-12,False
E00213,Male,35,30-39,Single,Diploma,Customer Support,Support Lead,2,Remote,Full-Time,2023-10-09,True
E00214,Male,32,30-39,Married,Bachelor,Customer Support,Support Agent,2,Hyderabad,Full-Time,2024-04-21,False
E00215,Male,34,30-39,Married,Diploma,Operations,Quality Analyst,1,Mumbai,Full-Time,2025-12-07,True
E00216,Female,32,30-39,Married,Diploma,Sales,Sales Executive,1,Delhi,Full-Time,2024-03-25,True
E00217,Female,29,Under 30,Married,Master,Research & Development,Research Scientist,2,Bengaluru,Contract,2024-08-11,True
E00218,Male,23,Under 30,Single,PhD,Customer Support,Support Lead,1,Hyderabad,Full-Time,2022-11-14,False
E00219,Female,34,30-39,Married,High School,Operations,Operations Analyst,2,Mumbai,Full-Time,2021-02-13,True
E00220,Male,30,30-39,Single,Bachelor,IT,DevOps Engineer,3,Delhi,Full-Time,2024-01-18,True
E00221,Male,31,30-39,Single,Master,IT,DevOps Engineer,3,Remote,Full-Time,2025-03-18,True
E00222,Female,24,Under 30,Married,Bachelor,Finance,Accountant,1,Remote,Full-Time,2023-01-02,True
E00223,Female,29,Under 30,Married,PhD,Marketing,Marketing Analyst,3,Hyderabad,Full-Time,2021-09-28,True
E00224,Female,41,40-49,Single,High School,Operations,Operations Analyst,7,Bengaluru,Full-Time,2020-03-20,True
E00225,Female,27,Under 30,Married,Bachelor,IT,Software Engineer,1,Chennai,Full-Time,2023-08-10,False
E00226,Female,23,Under 30,Single,Bachelor,Customer Support,Support Lead,1,Hyderabad,Full-Time,2021-09-28,True
E00227,Female,38,30-39,Divorced,Bachelor,Sales,Business Development,4,Delhi,Full-Time,2025-12-24,False
E00228,Female,36,30-39,Married,High School,Customer Support,Support Lead,3,Delhi,Full-Time,2024-10-09,True
E00229,Female,34,30-39,Single,Bachelor,Sales,Account Executive,2,Hyderabad,Full-Time,2020-03-29,True
E00230,Male,25,Under 30,Married,Master,Customer Support,Escalation Specialist,1,Remote,Full-Time,2022-03-24,False
E00231,Male,30,30-39,Married,High School,Finance,Financial Analyst,4,Bengaluru,Full-Time,2024-04-27,True
E00232,Male,30,30-39,Married,High School,IT,Software Engineer,1,Chennai,Contract,2025-03-19,True
E00233,Female,39,30-39,Married,Diploma,Operations,Logistics Coordinator,4,Remote,Full-Time,2021-08-22,True
E00234,Female,30,30-39,Married,Master,IT,IT Support,1,Mumbai,Part-Time,2024-05-06,False
E00235,Female,26,Under 30,Married,Bachelor,Marketing,Marketing Analyst,2,Remote,Full-Time,2021-12-15,False
E00236,Male,31,30-39,Single,Diploma,Customer Support,Escalation Specialist,2,Mumbai,Full-Time,2025-06-09,True
E00237,Male,33,30-39,Single,High School,IT,DevOps Engineer,2,Mumbai,Full-Time,2020-04-14,False
E00238,Female,33,30-39,Single,Bachelor,Sales,Account Executive,3,Delhi,Full-Time,2025-01-19,True
E00239,Female,34,30-39,Married,Bachelor,Sales,Business Development,1,Bengaluru,Full-Time,2021-11-24,False
E00240,Male,36,30-39,Single,Bachelor,Marketing,SEO Specialist,2,Bengaluru,Full-Time,2022-11-27,True
E00241,Female,28,Under 30,Married,High School,IT,Software Engineer,2,Mumbai,Full-Time,2024-09-16,False
E00242,Male,33,30-39,Single,Diploma,IT,Software Engineer,4,Chennai,Full-Time,2023-01-23,True
E00243,Female,37,30-39,Married,High School,Operations,Logistics Coordinator,4,Hyderabad,Full-Time,2022-06-17,True
E00244,Female,34,30-39,Married,Master,Finance,Accountant,4,Chennai,Full-Time,2022-05-14,True
E00245,Female,28,Under 30,Married,Bachelor,Customer Support,Support Lead,2,Delhi,Full-Time,2020-07-01,True
E00246,Male,30,30-39,Married,PhD,Research & Development,Research Scientist,2,Bengaluru,Full-Time,2022-05-24,True
E00247,Female,42,40-49,Single,Diploma,Customer Support,Support Lead,6,Delhi,Full-Time,2020-06-05,True
E00248,Male,42,40-49,Married,Diploma,Sales,Account Executive,6,Delhi,Part-Time,2024-04-21,False
E00249,Male,34,30-39,Married,Master,Finance,Accountant,2,Mumbai,Full-Time,2020-09-19,True
E00250,Male,29,Under 30,Married,Bachelor,Executive,COO,2,Delhi,Full-Time,2022-06-23,True
E00251,Male,23,Under 30,Married,High School,Customer Support,Support Lead,1,Delhi,Full-Time,2020-02-03,False
E00252,Female,33,30-39,Married,Master,Research & Development,Research Scientist,3,Remote,Full-Time,2025-04-04,True
